agent	soul_outcome	soul_detail	memory_outcome	memory_detail
aegis	legacy_clean		legacy_clean	
aegis-aether	legacy_clean		legacy_clean	
aegis-anchor	git_recovered	81f6bc63281948cdba66ac212649a5ef19b639ca	legacy_clean	
aether	legacy_clean		legacy_clean	
aether-aether	legacy_clean		legacy_clean	
aether-alphawave	git_recovered	cc9875d3cd263cb863a4a5563acf7333041cd51b	legacy_clean	
aether-anchor	legacy_clean		legacy_clean	
alphawave	legacy_clean		legacy_clean	
alphawave-aether	legacy_clean		legacy_clean	
alphawave-alphawave	git_recovered	cc9875d3cd263cb863a4a5563acf7333041cd51b	legacy_clean	
alphawave-anchor	legacy_clean		legacy_clean	
ambit	git_recovered	ae34f57101828e4780a8a824765d70f7246eb61f	legacy_clean	
ambit-aether	legacy_clean		legacy_clean	
ambit-alphawave	git_recovered	cc9875d3cd263cb863a4a5563acf7333041cd51b	legacy_clean	
ambit-anchor	legacy_clean		legacy_clean	
analog	legacy_clean		legacy_clean	
analog-aether	legacy_clean		legacy_clean	
analog-anchor	legacy_clean		legacy_clean	
anchor	legacy_clean		legacy_clean	
anchor-aether	legacy_clean		legacy_clean	
anchor-alphawave	legacy_clean		legacy_clean	
anchor-anchor	legacy_clean		legacy_clean	
animus	legacy_clean		legacy_clean	
animus-aether	legacy_clean		legacy_clean	
animus-anchor	legacy_clean		legacy_clean	
anvil	legacy_clean		legacy_clean	
aperture	legacy_clean		legacy_clean	
aperture-aether	legacy_clean		legacy_clean	
aperture-anchor	legacy_clean		legacy_clean	
apex	legacy_clean		legacy_clean	
apex-aether	legacy_clean		legacy_clean	
apex-alphawave	legacy_clean		legacy_clean	
apex-anchor	legacy_clean		legacy_clean	
arbiter	legacy_clean		legacy_clean	
arbiter-aether	legacy_clean		legacy_clean	
arbiter-anchor	legacy_clean		legacy_clean	
arbiter-mod	legacy_clean		legacy_clean	
archive	legacy_clean		legacy_clean	
archive-aether	legacy_clean		legacy_clean	
archive-anchor	legacy_clean		legacy_clean	
argon	legacy_clean		legacy_clean	
argon-aether	legacy_clean		legacy_clean	
argon-alphawave	git_recovered	cc9875d3cd263cb863a4a5563acf7333041cd51b	legacy_clean	
argon-anchor	legacy_clean		legacy_clean	
aria	legacy_clean		legacy_clean	
aria-aether	legacy_clean		legacy_clean	
aria-anchor	legacy_clean		legacy_clean	
artifact	legacy_clean		legacy_clean	
artifact-aether	legacy_clean		legacy_clean	
artifact-alphawave	git_recovered	cc9875d3cd263cb863a4a5563acf7333041cd51b	legacy_clean	
artifact-anchor	legacy_clean		legacy_clean	
ascent	legacy_clean		legacy_clean	
ascent-aether	legacy_clean		legacy_clean	
ascent-anchor	legacy_clean		legacy_clean	
atlas	legacy_clean		legacy_clean	
atlas-aether	legacy_clean		legacy_clean	
atlas-anchor	git_recovered	81f6bc63281948cdba66ac212649a5ef19b639ca	legacy_clean	
attune	legacy_clean		legacy_clean	
attune-aether	legacy_clean		legacy_clean	
attune-anchor	legacy_clean		legacy_clean	
audit	legacy_clean		legacy_clean	
aurora	legacy_clean		legacy_clean	
aurora-aether	legacy_clean		legacy_clean	
aurora-alphawave	legacy_clean		legacy_clean	
aurora-anchor	legacy_clean		legacy_clean	
axiom	legacy_clean		legacy_clean	
axiom-aether	legacy_clean		legacy_clean	
axiom-alphawave	git_recovered	cc9875d3cd263cb863a4a5563acf7333041cd51b	legacy_clean	
axiom-anchor	legacy_clean		legacy_clean	
azimuth	legacy_clean		legacy_clean	
azimuth-aether	legacy_clean		legacy_clean	
azimuth-alphawave	git_recovered	cc9875d3cd263cb863a4a5563acf7333041cd51b	legacy_clean	
azimuth-anchor	legacy_clean		legacy_clean	
basalt	git_recovered	b36317aed8d29b42133609b0e747100af723028a	legacy_clean	
basalt-aether	legacy_clean		legacy_clean	
basalt-alphawave	git_recovered	044ac5a1cddb890b3cd4e63051382a3ca7d07519	legacy_clean	
basalt-anchor	legacy_clean		legacy_clean	
beacon	legacy_clean		legacy_clean	
beacon-aether	git_recovered	dfdf4d61a727943568c236a9fc74d26b890fc89c	legacy_clean	
beacon-anchor	legacy_clean		legacy_clean	
benchmark	legacy_clean		legacy_clean	
bifrost	legacy_clean		legacy_clean	
bifrost-aether	legacy_clean		legacy_clean	
bifrost-anchor	legacy_clean		legacy_clean	
binary	legacy_clean		legacy_clean	
binary-aether	legacy_clean		legacy_clean	
binary-anchor	legacy_clean		legacy_clean	
bitwise	git_recovered	dfdf4d61a727943568c236a9fc74d26b890fc89c	legacy_clean	
bitwise-aether	legacy_clean		legacy_clean	
bitwise-anchor	legacy_clean		legacy_clean	
blaze	legacy_clean		legacy_clean	
blaze-aether	legacy_clean		legacy_clean	
blaze-anchor	legacy_clean		legacy_clean	
bloom	legacy_clean		legacy_clean	
bloom-aether	legacy_clean		legacy_clean	
bloom-anchor	legacy_clean		legacy_clean	
bolt	git_recovered	ae34f57101828e4780a8a824765d70f7246eb61f	legacy_clean	
bolt-aether	legacy_clean		legacy_clean	
bolt-alphawave	git_recovered	cc9875d3cd263cb863a4a5563acf7333041cd51b	legacy_clean	
bolt-anchor	legacy_clean		legacy_clean	
bramble	legacy_clean		legacy_clean	
bramble-aether	legacy_clean		legacy_clean	
bramble-anchor	legacy_clean		legacy_clean	
breach	legacy_clean		legacy_clean	
breach-aether	legacy_clean		legacy_clean	
breach-anchor	legacy_clean		legacy_clean	
bridge	git_recovered	dfdf4d61a727943568c236a9fc74d26b890fc89c	legacy_clean	
bridge-aether	git_recovered	49d96cbaed27d0e6f4cbed42cb18853e8e4a179d	legacy_clean	
bridge-anchor	legacy_clean		legacy_clean	
bristle	legacy_clean		legacy_clean	
bristle-aether	legacy_clean		legacy_clean	
bristle-anchor	legacy_clean		legacy_clean	
bronze	legacy_clean		legacy_clean	
bronze-aether	git_recovered	b8d9159d9e72d51c3243cc0559ddd106fc978c42	legacy_clean	
bronze-alphawave	legacy_clean		legacy_clean	
bronze-anchor	legacy_clean		legacy_clean	
buffer	legacy_clean		legacy_clean	
buffer-aether	legacy_clean		legacy_clean	
buffer-alphawave	legacy_clean		legacy_clean	
buffer-anchor	legacy_clean		legacy_clean	
bulwark	legacy_clean		legacy_clean	
bulwark-aether	legacy_clean		legacy_clean	
bulwark-alphawave	legacy_clean		legacy_clean	
